repository_owner,repository_name,file_url,candidate_instruction_count,final_not_to_do_count,final_not_to_do_pct_of_file,has_final_not_to_do,first_sentence_index,last_sentence_index
yuuki,tcpulse,https://github.com/yuuki/tcpulse/blob/main/CLAUDE.md,74,0,0.000000,0,1,26
zed-industries,zed,https://github.com/zed-industries/zed/blob/main/CLAUDE.md,126,21,16.666667,1,1,115
zenml-io,zenml,https://github.com/zenml-io/zenml/blob/main/CLAUDE.md,282,24,8.510638,1,1,116
Agoric,agoric-sdk,https://github.com/Agoric/agoric-sdk/blob/master/AGENTS.md,62,2,3.225806,1,1,48
alchemiststudiosDOTai,tunacode,https://github.com/alchemiststudiosDOTai/tunacode/blob/master/AGENTS.md,104,9,8.653846,1,1,103
anyproto,anytype-ts,https://github.com/anyproto/anytype-ts/blob/main/AGENTS.md,53,0,0.000000,0,1,53
ArcInstitute,SRAgent,https://github.com/ArcInstitute/SRAgent/blob/main/AGENTS.md,28,3,10.714286,1,1,28
astronomer,airflow-ai-sdk,https://github.com/astronomer/airflow-ai-sdk/blob/main/AGENTS.md,1,0,0.000000,0,1,1
Azure-Samples,serverless-chat-langchainjs,https://github.com/Azure-Samples/serverless-chat-langchainjs/blob/main/AGENTS.md,43,3,6.976744,1,1,22
biolink,biolink-model,https://github.com/biolink/biolink-model/blob/master/AGENTS.md,32,5,15.625000,1,1,30
bionic-gpt,bionic-gpt,https://github.com/bionic-gpt/bionic-gpt/blob/main/AGENTS.md,85,3,3.529412,1,1,56
BoldGrid,w3-total-cache,https://github.com/BoldGrid/w3-total-cache/blob/master/AGENTS.md,30,5,16.666667,1,1,22
bruin-data,bruin,https://github.com/bruin-data/bruin/blob/main/AGENTS.md,144,3,2.083333,1,1,30
cablehead,xs,https://github.com/cablehead/xs/blob/main/AGENTS.md,25,7,28.000000,1,2,14
CapSoftware,Cap,https://github.com/CapSoftware/Cap/blob/main/AGENTS.md,93,20,21.505376,1,1,11
carverauto,serviceradar,https://github.com/carverauto/serviceradar/blob/main/AGENTS.md,244,18,7.377049,1,1,80
catatsuy,private-isu,https://github.com/catatsuy/private-isu/blob/master/AGENTS.md,22,2,9.090909,1,2,1
charlesvestal,extending-move,https://github.com/charlesvestal/extending-move/blob/main/AGENTS.md,170,2,1.176471,1,1,168
commonwarexyz,monorepo,https://github.com/commonwarexyz/monorepo/blob/main/AGENTS.md,230,20,8.695652,1,1,218
cubicdaiya,nginx-build,https://github.com/cubicdaiya/nginx-build/blob/master/AGENTS.md,27,1,3.703704,1,1,23
cybrota,whispr,https://github.com/cybrota/whispr/blob/main/AGENTS.md,20,0,0.000000,0,1,13
dagster-io,mdsfest-opensource-mds,https://github.com/dagster-io/mdsfest-opensource-mds/blob/main/AGENTS.md,16,0,0.000000,0,1,16
DannyMac180,meta-agent,https://github.com/DannyMac180/meta-agent/blob/main/AGENTS.md,55,4,7.272727,1,1,28
DataDog,datadog-agent,https://github.com/DataDog/datadog-agent/blob/main/AGENTS.md,220,8,3.636364,1,1,182
EduardoPires,EquinoxProject,https://github.com/EduardoPires/EquinoxProject/blob/master/AGENTS.md,34,2,5.882353,1,1,2
elamperti,OpenWebScrobbler,https://github.com/elamperti/OpenWebScrobbler/blob/main/AGENTS.md,69,6,8.695652,1,2,66
epicweb-dev,epicshop,https://github.com/epicweb-dev/epicshop/blob/main/AGENTS.md,110,6,5.454545,1,1,93
ESPresense,ESPresense-companion,https://github.com/ESPresense/ESPresense-companion/blob/main/AGENTS.md,30,2,6.666667,1,1,30
evandempsey,fp-growth,https://github.com/evandempsey/fp-growth/blob/master/AGENTS.md,13,0,0.000000,0,1,13
fujiapple852,trippy,https://github.com/fujiapple852/trippy/blob/master/AGENTS.md,24,1,4.166667,1,1,4
gacela-project,gacela,https://github.com/gacela-project/gacela/blob/main/AGENTS.md,36,0,0.000000,0,1,17
getsentry,sentry-mcp,https://github.com/getsentry/sentry-mcp/blob/main/AGENTS.md,35,2,5.714286,1,1,4
gindemit,unity-rlottie,https://github.com/gindemit/unity-rlottie/blob/main/AGENTS.md,18,0,0.000000,0,1,18
giorgosart,react-easy-edit,https://github.com/giorgosart/react-easy-edit/blob/master/AGENTS.md,17,0,0.000000,0,1,8
gitkraken,vscode-gitlens,https://github.com/gitkraken/vscode-gitlens/blob/main/AGENTS.md,136,15,11.029412,1,1,86
gluesql,glues,https://github.com/gluesql/glues/blob/main/AGENTS.md,19,2,10.526316,1,1,12
graphql-python,graphql-server,https://github.com/graphql-python/graphql-server/blob/main/AGENTS.md,10,0,0.000000,0,1,10
hahwul,dalfox,https://github.com/hahwul/dalfox/blob/main/AGENTS.md,134,5,3.731343,1,1,125
hathach,tinyusb,https://github.com/hathach/tinyusb/blob/master/AGENTS.md,69,6,8.695652,1,3,23
herbie-fp,herbie,https://github.com/herbie-fp/herbie/blob/main/AGENTS.md,68,4,5.882353,1,1,16
hotovo,aider-desk,https://github.com/hotovo/aider-desk/blob/main/AGENTS.md,88,0,0.000000,0,1,24
ikamensh,flynt,https://github.com/ikamensh/flynt/blob/master/AGENTS.md,23,0,0.000000,0,1,21
janbjorge,pgqueuer,https://github.com/janbjorge/pgqueuer/blob/main/AGENTS.md,121,20,16.528926,1,2,27
jaredsburrows,android-gif-search,https://github.com/jaredsburrows/android-gif-search/blob/master/AGENTS.md,32,1,3.125000,1,1,31
johnlindquist,kit,https://github.com/johnlindquist/kit/blob/main/AGENTS.md,32,2,6.250000,1,1,15
julep-ai,julep,https://github.com/julep-ai/julep/blob/main/AGENTS.md,216,16,7.407407,1,1,31
JuliaLang,julia,https://github.com/JuliaLang/julia/blob/master/AGENTS.md,93,10,10.752688,1,1,33
jxnl,blog,https://github.com/jxnl/blog/blob/main/AGENTS.md,10,0,0.000000,0,1,7
karakeep-app,karakeep,https://github.com/karakeep-app/karakeep/blob/main/AGENTS.md,46,0,0.000000,0,1,17
katspaugh,wavesurfer.js,https://github.com/katspaugh/wavesurfer.js/blob/main/AGENTS.md,14,1,7.142857,1,1,3
kdroidFilter,Platform-Tools,https://github.com/kdroidFilter/Platform-Tools/blob/master/AGENTS.md,22,1,4.545455,1,1,14
Kiln-AI,Kiln,https://github.com/Kiln-AI/Kiln/blob/main/AGENTS.md,52,4,7.692308,1,1,26
kyryl-opens-ml,no-ocr,https://github.com/kyryl-opens-ml/no-ocr/blob/main/AGENTS.md,12,0,0.000000,0,1,11
langchain-ai,langchain,https://github.com/langchain-ai/langchain/blob/master/AGENTS.md,125,16,12.800000,1,1,44
langfuse,langfuse,https://github.com/langfuse/langfuse/blob/main/AGENTS.md,150,13,8.666667,1,1,150
llama-farm,llamafarm,https://github.com/llama-farm/llamafarm/blob/main/AGENTS.md,64,3,4.687500,1,1,12
